,username,TwitterID,DateTime,content,likes,retweet,replies,image,articleImage,video
1981,WebMD,879731053128273920,9:00 AM - 27 Jun 2017,A ketogenic diet may help you lose more weight in the first 3 to 6 months than some other diets. Here's why: http://wb.md/2sZ34mX pic.twitter.com/UCWNMTgR4a,61,26,0,https://pbs.twimg.com/media/DDVuukPW0AA_8cU.jpg,,
1982,WebMD,879715952413351937,8:00 AM - 27 Jun 2017,True or false: Drinking beer can trigger a gout attack. http://wb.md/2tdW99u pic.twitter.com/JlgsOETI4O,39,12,5,https://pbs.twimg.com/media/DDVg_rVXUAEJq-F.jpg,,
1983,WebMD,879706763880214528,7:23 AM - 27 Jun 2017,"The Senate healthcare bill violates medicine's ""do no harm"" imperative, says the American Medical Association. http://wb.md/2tiqhk8 pic.twitter.com/LMUzwrqUlx",48,41,6,https://pbs.twimg.com/media/DDVYo11XsAMo00L.jpg,,
1984,WebMD,879685754129178624,6:00 AM - 27 Jun 2017,"In which age group are skin tags most common: children, teens, young adults, or older adults? http://wb.md/2tedmQs pic.twitter.com/KlJFoDxF4n",7,7,1,https://pbs.twimg.com/media/DDVFh11XsAAuOiI.jpg,,
1985,WebMD,879663106103889921,4:30 AM - 27 Jun 2017,True or false: Bananas can boost your mood. http://wb.md/2tguyVt pic.twitter.com/bvwTOp4iJQ,100,29,4,https://pbs.twimg.com/media/DDUw7heXoAESC6T.jpg,,
1986,WebMD,879648003581251586,3:30 AM - 27 Jun 2017,Here's a room-by-room look at how and what to disinfect after someone in your family has been sick: http://wb.md/2tdZ4zc pic.twitter.com/fblo02UdKO,63,38,0,https://pbs.twimg.com/media/DDUjMgxXkAAiwFU.png,,
1987,WebMD,879632904694968320,2:30 AM - 27 Jun 2017,"True or false: A sudden, high-stress event might boost your memory. http://wb.md/2tPs8tP pic.twitter.com/frPULUbjK8",58,30,7,https://pbs.twimg.com/media/DDUVdnYWAAI7nRp.jpg,,
1988,WebMD,879542306793193473,8:30 PM - 26 Jun 2017,New skills help keep your brain healthy. The mental work it takes may even delay the effects of Alzheimer's disease. http://wb.md/2tfvSHX pic.twitter.com/2gEJvh4eMf,148,83,5,https://pbs.twimg.com/media/DDTDEJNWAAIcX2P.jpg,,
1989,WebMD,879527206489387010,7:30 PM - 26 Jun 2017,"When you're prescribed an opioid, these are the four red flags for addiction you should watch for: http://wb.md/2tff4RA pic.twitter.com/8Fm8uUKsaz",49,41,1,https://pbs.twimg.com/media/DDS1VOlXcAAJrYK.jpg,,
1990,WebMD,879512299387707392,6:30 PM - 26 Jun 2017,This grilled salad packs essential nutrients -- without spiking your blood sugar. http://wb.md/2tOml7M pic.twitter.com/2eqtzNCWvB,88,43,3,,,"['PlayableMedia', 'PlayableMedia--video']"
1991,WebMD,879497008070971392,5:30 PM - 26 Jun 2017,Crohn's symptoms might appear outside your intestines. How it can affect other body parts: http://wb.md/2tesEED pic.twitter.com/u4ymgfQ0sK,40,30,4,https://pbs.twimg.com/media/DDSZ3abXcAE9kfk.jpg,,
1992,WebMD,879474360934858753,4:00 PM - 26 Jun 2017,It's hard to get somewhere if you don't know where you're going -- start with these weekly physical activity goals: http://wb.md/2tf3g1u pic.twitter.com/N0HL3nA3Mr,44,17,0,https://pbs.twimg.com/media/DDSFRKqWsAALyQD.jpg,,
1993,WebMD,879459261549621248,3:00 PM - 26 Jun 2017,Some conditions and medications affect your body as well as your hair. What to know: http://wb.md/2tdNAvI pic.twitter.com/aupcUqmCSr,37,24,2,https://pbs.twimg.com/media/DDR3iQdXoAED0EG.jpg,,
1994,WebMD,879444160167780352,2:00 PM - 26 Jun 2017,An abrupt and dramatic loss of vision may be a sign of a problem w/ the blood flow to your eye or brain. More info: http://wb.md/2tN0jlL pic.twitter.com/gcJgT896Bn,29,14,0,https://pbs.twimg.com/media/DDRpzUTXoAEqRFs.jpg,,
1995,WebMD,879398862808633345,11:00 AM - 26 Jun 2017,"Loss of appetite can come from something as simple as stress, or it can be a sign of something more serious. http://wb.md/2tNnfBn pic.twitter.com/UKh9jZO4v1",42,27,0,https://pbs.twimg.com/media/DDRAmlwXYAI1dqi.jpg,,
1996,WebMD,879383764547317761,10:00 AM - 26 Jun 2017,17% of children left in a hot car are done so intentionally. What to do if you see a child in a hot car: http://wb.md/2tNs11X pic.twitter.com/Y3WS6O3kFK,37,40,5,https://pbs.twimg.com/media/DDQy3y3WsAEaFVn.jpg,,
1997,WebMD,879368666286043138,9:00 AM - 26 Jun 2017,Venomous female black widows like to hide in wood piles and tree stumps. What you need to know about their bite: http://wb.md/2tNcmQk pic.twitter.com/muYT3cxuMJ,44,28,4,https://pbs.twimg.com/media/DDQlI9_W0AAm3Q_.jpg,,
1998,rocknrobintv,879360908106936320,8:29 AM - 26 Jun 2017,Proud to announce our newest series with @WebMD is now available. Check it out! #Migraineshttps://twitter.com/WebMD/status/879324810047889408 …,19,9,2,,,
1999,WebMD,879346195738570752,7:30 AM - 26 Jun 2017,"""Don’t let other people’s impression of your illness define you.” @RobinRoberts shares Kate's fight w/migraine pain: http://wb.md/2t3Xr6t pic.twitter.com/32TUQmycbR",31,14,4,,,"['PlayableMedia', 'PlayableMedia--video']"
2000,WebMD,879338951764578304,7:01 AM - 26 Jun 2017,"Bad posture puts strain on bones and muscles -- and it smashes organs together, making it harder for them to work. http://wb.md/2tdlT5T pic.twitter.com/eKnvoDqAwT",138,92,2,https://pbs.twimg.com/media/DDQKHXwXYAEekep.png,,
2001,WebMD,879324810047889408,6:05 AM - 26 Jun 2017,Kate's daily battle w/ migraine pain is one her parents knows well. What role do genes play? @RobinRoberts reports: http://wb.md/2t3Xr6t pic.twitter.com/cq3zhQUo0C,38,19,2,,,"['PlayableMedia', 'PlayableMedia--video']"
2002,WebMD,879293166305804288,4:00 AM - 26 Jun 2017,"Research shows you're likely to live longer if you walk at least: 5.5 miles, 10.5 miles or 15.5 miles per week? http://wb.md/2tD1UdY pic.twitter.com/mXM7VKf24g",132,73,4,https://pbs.twimg.com/media/DDPgeSgXYAEfJZ6.jpg,,
2003,WebMD,879240318020972544,12:30 AM - 26 Jun 2017,Waking up with back pain? Sleeping on your side with a pillow between your legs can help relieve pressure. http://wb.md/2t3mEhO pic.twitter.com/7dw3yFr4n5,73,53,2,https://pbs.twimg.com/media/DDOwaHaXsAAQndE.jpg,,
2004,WebMD,879225218769854465,11:30 PM - 25 Jun 2017,"Kava is supposed to help with anxiety and insomnia, but it may cause liver damage, like hepatitis. What to know: http://wb.md/2tCCOM9 pic.twitter.com/O0wNhVqAyF",23,14,0,https://pbs.twimg.com/media/DDOirNJXoAAPMe_.jpg,,
2005,WebMD,879210118554025985,10:30 PM - 25 Jun 2017,"Left untreated, a toenail fungus infection could spread to other toenails, skin, or even your fingernails. http://wb.md/2tyyddQ pic.twitter.com/vrDZxjHqrT",34,21,2,https://pbs.twimg.com/media/DDOU8QnXkAArKK7.jpg,,
