,username,TwitterID,DateTime,content,likes,retweet,replies,image,articleImage,video
2003,ClevelandClinic,867149643552923649,3:46 PM - 23 May 2017,Apple or pear: which body shape is worse for your health? http://cle.clinic/2q0ajIG pic.twitter.com/FKXbjAUehb,22,14,2,https://pbs.twimg.com/media/DAijEJLWAAAc04G.jpg,,
2004,ClevelandClinic,867119948367253504,1:48 PM - 23 May 2017,What myths you shouldn't believe about medication (and what you need to know).http://cle.clinic/2rQQXnk,37,36,0,,https://t.co/RfkT0aC124,
2005,ClevelandClinic,867119538550255616,1:46 PM - 23 May 2017,"""We’re building a culture where every caregiver is capable, empowered & expected to make improvements every day"" @LisaYerianMD #PESummit",42,14,1,,,
2006,ClevelandClinic,867098557312118786,12:23 PM - 23 May 2017,"Try these 8 remedies for your #backpain (before taking pills)
http://cle.clinic/2qSsWiz pic.twitter.com/Ob5fV6gP6c",44,42,0,https://pbs.twimg.com/media/DAiNSDEWAAAUkkW.jpg,,
2007,ClevelandClinic,867079181431177216,11:06 AM - 23 May 2017,"Cleveland Clinic Stroke Mobile saves time, lives #strokeawarenessmonth http://youtu.be/PuFVByd8LV0  via @fox8news",23,17,2,,https://t.co/YGqOzYMhhV,
2008,ClevelandClinic,867062318667972608,9:59 AM - 23 May 2017,".@hartdoctorahmed explains if a CoQ10 supplement helps when you're taking a #statin?
http://cle.clinic/2oetRsL pic.twitter.com/JMMrD0OjJr",17,12,3,https://pbs.twimg.com/media/DAhecrUXsAIkAjh.jpg,,
2009,ClevelandClinic,867052507725484032,9:20 AM - 23 May 2017,"Breathe deep. A full, deep breath makes your lungs & chest send signals to your brain and you feel calmer. http://cle.clinic/2rPh2TW  #PESummitpic.twitter.com/5uQbauKP51",102,88,2,https://pbs.twimg.com/media/DAhdBzqWsAAg0rX.jpg,,
2010,ClevelandClinic,867047477290991616,9:00 AM - 23 May 2017,"Acupressure is a complementary treatment to acupuncture without needles.
Try this if you're stressed: http://cle.clinic/2rPh2TW 
#PESummitpic.twitter.com/AAq7Cgpf64",36,22,1,https://pbs.twimg.com/media/DAhYQsiWsAERCbP.jpg,,
2011,ClevelandClinic,867045906272710657,8:53 AM - 23 May 2017,8 types of PAIN you shouldn't ignore: http://cle.clinic/2ovHKlY pic.twitter.com/d0jvwZdyU4,55,28,0,https://pbs.twimg.com/media/DAhdoHnXoAAYe5l.jpg,,
2012,ClevelandClinic,867012428395147265,6:40 AM - 23 May 2017,"Explore 360° of empathy at our #CleClinicCancer center. http://cle.clinic/2qQUjtv  #PESummit
@WPBrandStudio",31,18,2,,https://t.co/7BOkBDBAom,
